,FFT0,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9
149,128024.51494669737,136011.00613297767,179362.40677835117,54451.43070486701,139627.82682997585,97908.07527651382,110278.7355092516,135944.76659159682,94886.53551985376,126894.42611492722
150,32057.48635918506,49881.79467353633,180824.89420729628,51965.8711254563,98741.26430611347,188479.56144311823,220335.07811166663,57691.48874721268,105690.95312622796,74116.73538800783
151,27497.563425536315,58473.06825218322,115948.09370663909,81857.05316093573,240483.64830662144,135935.227801664,50141.48560485381,157341.42720569266,155643.40813827905,135001.33508088917
152,41795.334806836574,78730.91617442251,170776.92477682736,134563.6697226405,131329.9486411755,137909.26584898354,131117.85293432462,111088.01778811912,40620.393228104265,155708.25874392915
153,80257.18399178777,71395.0432785214,113024.80333347915,114417.25593419117,121875.00488024551,128492.84519751676,102598.60540314027,99700.23911378728,126211.7915664875,209109.28076682123
154,132331.18534979902,135446.86206173187,143935.24413702628,58559.058097247274,74425.18937271545,34902.0938182785,136453.11729882017,51271.78625305916,110978.7928429467,62397.485509353355
155,157689.02101542987,106960.56241033674,44970.33324345926,118701.48587009106,145820.0573051541,283950.3070449229,54840.771185926875,35708.04276501612,70476.62437354133,84087.86646556975
156,141667.83942480257,42118.22358314671,104732.64452737432,236844.31132979135,200587.2113815517,101987.1440032312,54066.43105096264,74125.36049579637,76007.93425730692,161313.33336264614
157,159924.73855271318,180238.14115082624,235016.8860566798,71770.3948689858,54987.18735673796,26339.891545048642,267101.0947081016,184331.0677874736,174741.4113562225,225376.43524953132
158,125407.68253908175,133261.00346821378,313327.2751154567,172263.856630809,107623.21495638232,200259.31975336632,147462.11344244148,145900.67217156562,25194.79017805302,144097.16798773335
159,83891.40516497415,203336.94870179662,142160.41301730115,96944.8724444386,122532.0685675561,102162.31566840957,116043.89314135081,22195.143469165538,42366.53310586358,196275.7432741145
160,168577.01418451243,125090.00601699969,107352.14606686763,44532.54752346657,82585.172973742,68610.50946869492,96355.16005066731,162624.58078956316,36951.78531754552,38546.359348695
161,129466.32617338549,147470.94077186973,110400.73598397762,84057.79246469386,241761.29839040356,258335.84690691825,22958.08353295323,265875.8218706401,90319.56426001809,67410.31332348534
162,137087.88188200118,106729.97215527436,110550.8461715103,124771.9205473445,59498.33640424074,149562.26109222232,133938.24436318138,64944.914565298226,173258.6506483912,60141.23629008826
163,283247.23738925677,119630.85733663247,105856.12296041171,92961.32924506078,228283.83093468047,100562.06262379489,87695.15259676425,103361.47641841436,142529.0268346257,136458.3936312752
164,84000.60996876632,103285.98464438945,173447.06455979237,58088.30320949186,84488.39846011472,126330.97085423069,54158.059692158364,144367.6897948068,67265.99945248288,82589.89927958992
165,52758.26479813897,133563.13481325735,226362.8879798466,85558.98388784018,134158.54418369822,75221.64456166545,125174.90849892599,141373.22589954443,22796.288972581508,64782.70701337726
166,148008.76065193905,158618.59461536477,150304.68745035763,136091.57643002085,126913.75592215174,55873.162051280255,119058.90739494376,98835.36856169556,187436.79981208657,156137.59051876274
167,72914.24491225055,300329.7737876567,103004.14488877293,149006.42814943442,138770.64430210102,103643.30357922812,116363.885036148,104115.46213513694,110153.3604722142,212359.10135661342
