,FFT0,FFT1,FFT2,FFT3,FFT4,FFT5,FFT6,FFT7,FFT8,FFT9,FFT10,FFT11,FFT12
38,37682.96828888641,68395.14417179556,119586.07644562774,169333.83494001554,136963.57878531917,67362.20824159078,104009.54675634667,143236.47102712223,63523.05471756461,168567.48528796204,53818.65975666406,114581.80930317473,108841.46258723958
39,83240.33438364998,104127.97429613535,97009.19825113648,207156.76280563907,55032.65993366716,31068.94040562548,180540.08580887603,55852.07862599916,50547.143925970435,54993.570760417395,92397.70660573119,131955.89529140692,185747.14446201196
40,136254.56426707606,89310.09226966232,163642.70784282344,103139.2340223789,141490.19014174098,213464.9688195823,89091.17058640331,143762.0514462031,56418.03307152691,89784.41192555097,119428.74038797601,78311.75157517545,65095.383770187065
41,90747.60048421737,62040.644823581206,130528.28514025673,156939.47748657552,106236.3776514734,242467.4735999745,74699.69846979485,196815.40519057788,52619.01575036636,163931.49486547193,65514.9392417667,128931.53255545833,14688.079025090907
42,91918.03881078678,99797.64274505129,159805.8578684967,126779.56763889668,111085.94398811655,150971.6466829288,126998.50791809923,161530.4673404729,86620.21825677586,217070.57059127223,63270.61718044253,23382.16670407952,224640.2492600228
43,114925.44653540751,96884.33698605905,126660.11062549074,81155.23713214773,205037.79953541773,275641.1541025802,164944.11384783385,161671.09213504114,118367.3785753245,201642.25169566314,308013.94252932764,85712.53294796088,100982.60076795184
44,100335.08480692722,225568.81328860184,27553.252262268885,78648.3996066328,155066.19961690353,145491.20768136688,149518.973662754,33570.08614847486,94291.46560987206,171425.57582832724,193816.88748453622,104749.21130936671,129050.68487745282
45,231740.09458397946,37637.35753392206,320009.19121608307,49751.51027920613,35418.711019596936,209392.38672889912,99090.32521858669,251752.11321343787,46497.00837102276,161482.491626443,173502.73813246083,158461.99896226538,106597.55430254141
46,205640.92684020262,98828.50258218504,88698.39108614375,232299.9714841638,195406.00652976226,143552.10539908335,174202.95184223473,77450.05865693859,38706.038354590026,141046.34477984573,88257.18774143583,64151.594733588034,140617.92428015673
47,98870.35790612176,150681.570123188,70732.42130403937,252133.69683538334,73104.76894495249,42988.70726654804,109235.63321569534,59760.8611691188,172374.9986770462,9844.464480398081,132160.5076642614,29018.97493860175,155326.5859068232
48,120745.37469504851,194289.72619028753,308254.63239369926,51476.17790649601,110263.02001088749,90836.1574359572,118604.84747037456,66472.23776707152,127053.22280761869,69323.48033076814,228713.54098655537,86351.79085123082,140370.88117196684
49,89357.62496170566,179877.42259314226,52976.655667675856,65017.64613180424,60147.070034600416,193008.76778526188,158774.69541527375,166615.36482168024,107525.55478436526,82374.63059327983,138104.83892548404,167982.06313422395,236241.49718400513
50,118507.38909115842,94275.58407858296,68813.30298137214,172978.12619830458,142770.2896976375,61459.111835430034,175687.02237046105,247536.42850029687,203997.94156788054,175334.3646809984,89557.64258526881,20185.22839100171,121389.60264189061
51,49092.20537856899,114973.52239700357,235820.05437582772,81692.70163792836,104157.09788720492,139621.6028482971,145424.53510331456,90483.79669927603,120493.7117043893,61418.19619380721,91018.83272171073,176920.42551496788,193018.3433556283
52,144904.29494904057,125222.95264658745,100776.79631236084,104543.44957760378,97492.73321796286,28061.657827743278,142467.86134418155,119466.33202370956,101356.70689452211,83038.14046665099,52727.1813514923,73603.19517438997,141072.3162708019
53,54849.26216351484,231376.31191583315,84995.29664966531,93901.88514255057,77292.48026824107,159301.74345085467,287290.0950085991,195379.2838850851,127227.1002663604,85487.29196031035,72572.04008099847,153249.63104328339,83350.12222176815
54,141843.29595966474,102655.10742595498,57081.16941014468,251191.51756759433,155044.42597290545,79162.56728676207,68831.01623966907,83470.50574724602,96159.75933364138,54536.48716646147,70853.00299071458,228891.03596488462,195981.86779180221
55,137856.60791944494,160669.22184540573,76398.76656029235,105589.61078566745,93463.08484746981,73742.1472772157,107479.01596902419,56618.9242390666,177325.10104084958,64683.259164112445,120140.90096292176,81756.44695007565,130947.78303060301
56,168565.61023514668,146814.71457141516,62693.400829925435,184907.7645320317,138076.29947192012,125422.39777559687,60055.90083880687,148177.75212366247,122067.89785674386,186677.84103472836,125596.80879410173,124408.4970902496,33290.92380465806
57,109346.56013188908,314474.978418037,243797.433363,104756.44445179967,110954.14319577313,140559.4116359906,214295.58391608595,198590.16064378605,125914.92481248338,105811.62026711492,11567.367895824125,41657.90383508189,118132.6855530356
58,118990.90684773102,165157.97255411476,144086.3848791835,130997.79758870954,58461.59236383259,114526.71242284332,91010.26956297144,47557.47055996697,48924.02090961426,106239.71746051933,68127.06623896067,32706.705803035584,213164.1197500607
59,106978.84445542753,161463.7584063575,66525.74507454786,382632.08052268537,131034.76894910043,68905.27642655447,156561.34068058667,133839.64865141892,139658.98744005497,68185.41453779215,172857.2721855289,94596.0476626087,39685.21006948116
60,133628.84766403385,42062.34491163092,130280.92218517042,194961.64053154702,160289.838790548,16265.369752956787,32995.61042252436,17697.767232260765,169716.144958246,65690.87597393924,116084.71589622973,199796.57025175611,156690.64761193897
61,110732.15760518161,113631.22884832132,168375.06031294577,155177.40861562733,56352.9282259168,53223.091399633195,184176.17211796533,29352.48217818286,86370.28153018423,131723.05641817435,140963.85098685382,135927.10647777925,212219.9891720763
62,55381.843263856805,107844.44880024272,155673.07835600027,93833.11429873071,89827.35512777565,76311.86277545216,38654.743941188935,70950.72540140047,95684.33065298099,171493.37860388524,127393.493465391,95224.25250337752,61327.7115630337
63,244276.15933229125,210648.7945016815,205427.5468083895,74787.50964379686,91083.08742310134,25552.168416351382,154593.75275990897,150109.8686275242,196101.83517788752,126134.21985083689,63073.50081376155,109637.4842888848,111587.0539835374
64,157510.85585715744,76214.24353992236,196601.7764158065,20972.21991606375,163865.59641401435,51818.73726165537,69252.48560911899,16222.570834859807,178313.95456939036,185939.0540490398,246541.84940221318,63394.003653574284,137871.18466460408
65,205770.7163654652,165702.150805844,149041.4787149289,131444.6083462323,227971.36336317685,308401.84938303457,34961.616127403424,68836.86083838038,38543.21386109473,64678.56508084489,38804.23681919181,38092.02886168145,83641.31207274123
66,123216.80059929662,105962.29281805844,42216.56348350399,224757.81922583727,57362.99812995525,138687.64766048882,171588.96195918118,35259.56070475141,124780.66449440025,99692.53380702453,66178.61393696535,112231.18135399804,63799.690617506916
67,139402.87314903937,138465.07717909533,241695.93913572546,102163.87333112746,127917.70492585891,186905.95854919945,126904.84660093412,184540.82726343515,190814.45015784758,337265.0658493523,46462.5355822844,36618.545801392334,174582.20907533882
68,144556.16583454242,152123.27293920936,147695.22265123946,82780.86116205995,17028.94783079606,210178.08524310015,117211.62230164975,132703.55700791755,37204.30723293511,75948.28061935332,205448.93109249763,124453.30711218833,30171.528716757246
69,68461.81324255085,199855.71082766805,226344.7917164672,64945.09624078498,88288.94109003135,43571.75663231457,124371.31705230051,73181.0505646669,93586.46534292768,85764.13194182086,99471.80007744407,88347.62166001603,106295.47186063019
70,267338.8220268981,68366.23226611775,210210.26652608017,105482.14105336105,266227.8647695809,196392.72420499206,102158.8899373046,224465.03931811676,178137.48506834867,126062.54531054854,78787.18996371805,81034.58460880608,190296.98572667243
71,107522.8444748759,75827.94727506864,290629.07277821004,37325.38929947036,124226.66676920069,59966.8925768836,65878.1240242163,71548.42485873384,218059.6423660926,156293.89546996568,212991.2280158067,96077.92613646976,95379.27914411033
72,42379.34245878725,73143.34352652312,165137.40319877095,124570.59030141635,65436.23142965287,98479.71659597922,74802.79548232659,143715.76976724068,129249.38339276171,55494.85809604119,100224.56738457405,267958.13601874147,219620.78956057422
73,166662.57075128928,124061.0109046172,38021.577983166266,138641.7170389011,88998.21600409919,108609.2402614151,250826.0236983854,212426.53058701492,116503.77361545319,69425.10115161625,128735.36581019901,76120.62115439298,106520.44635207478
