,TTF0,TTF1
438,432965.6806773109,129345.76022396874
439,338306.8972391529,271812.6543456841
440,195706.45701444513,205882.23368061523
441,194411.80012144317,366401.51814756024
442,228507.4187069612,224013.51944663844
443,173698.7640721215,336526.23420123203
444,260691.1550943385,280637.4813600117
445,247356.72860387363,265691.15842083585
446,129062.56151163798,220604.42426920944
447,398568.1794372783,250991.3495473708
448,216196.42842706645,424246.816409778
449,279504.43373856833,276920.6948892644
450,376424.3446583036,185640.6280135468
451,466655.9532292951,86959.67046638794
452,247766.40416244903,154152.12827633912
453,262014.53761552967,146271.75975637636
454,327769.8001113445,158722.8232940004
455,220155.95383975853,355169.6486878711
456,112302.85629512604,249163.1001164226
457,144308.76172476565,256249.29431009767
458,131440.25900111947,128084.5505631999
459,188693.46493795118,191752.12967799854
460,312512.82280043734,224005.78450310882
461,225768.25927264808,146909.67670407705
462,206053.659854774,217938.2619125049
463,200715.50137881283,186355.38272435113
464,296854.98186327534,210966.23755452564
465,169476.96816888172,257722.94452732443
466,253331.11429795087,133473.1934614016
467,175114.03171869722,164086.30065956473
468,210617.01944921538,272296.24574702955
469,232007.27439307602,115760.24085177976
470,211608.7728953216,143248.33490411224
471,345528.2044897247,267662.8353904074
472,315551.1791393754,268911.1603529047
473,170931.2941906917,291747.2973275923
474,396006.5290519256,200705.36473016604
475,191548.1709247657,302167.93490981136
476,195171.09051052292,267378.1918267914
477,191448.09435930595,71304.56507220645
478,126643.4249222012,151710.27103575843
479,165644.114153585,122397.49180836549
480,274761.8063371375,215573.84789124242
481,256610.83248993897,351725.0698320868
482,240418.0875729064,411319.2918311722
483,314356.8236778974,282593.4959643274
484,438587.9351196864,239567.0514914747
485,234111.7819874393,171640.73471455925
486,319127.9576701426,214932.84770538128
487,176234.14927774708,441264.04903947987
488,305931.0199713764,271840.9007520371
489,151525.95372673887,360424.99549496325
490,269058.17568557005,349898.01722715324
491,154602.56267204977,212554.7538334715
492,429684.405345844,138147.73434170504
493,222780.73976134183,123263.27393915225
494,230894.11844071426,439143.1545789283
495,144741.25544825336,176757.75237764983
496,267296.1418659288,178608.88169354136
497,153295.60064707042,232223.9916327362
498,134386.99027628647,260288.17411724845
499,272260.9776053299,236290.5793138608
