,TTF0,TTF1,TTF2
377,248276.52992640706,207902.71984611682,244440.5393566453
378,279448.7886101899,148969.84896661178,198422.46241472143
379,264623.4900180584,252491.26903595694,139772.6914513386
380,127745.9666351682,238369.43741482057,127549.10643356976
381,251342.01388748095,188295.40804740915,158826.59211234597
382,87933.08907938207,275620.10881765495,256872.12952312594
383,182039.12720519124,350693.37663167063,163851.70261946385
384,494276.6315279695,380669.5754671951,217646.7330148429
385,263028.82013756374,482907.0367853207,226955.90671109085
386,293192.02702511137,339835.81224072224,122881.03765971339
387,246034.51670116768,227604.47349579463,381429.71070737153
388,351691.7871443472,84782.2931973721,96581.5490970381
389,230466.59965830104,90570.26804730424,247089.0328632386
390,230430.16180912376,106965.01024394833,241310.4188799992
391,133057.70046918438,225468.9615552648,356525.4998009845
392,185313.74276131054,180487.47189752816,333426.09402916016
393,391129.7698506339,287068.9444587858,277013.6046378759
394,238489.23089130386,124636.59363986018,197451.8550337775
395,242409.7844051725,116103.45300748873,113304.5117712123
396,396903.71700345527,160775.9972566163,142566.11693012487
397,306757.86730745353,294222.4605230333,317910.8745567793
398,197872.5383050715,160596.7100555335,252374.10617851227
399,150045.358729935,237557.5621873281,262276.17436719575
400,341137.3376373608,427405.97285844455,89706.61744889541
401,202596.61352322763,221084.0727748247,204111.52583146587
402,130766.67656389574,109746.42099203878,139628.1632455756
403,214421.13945648307,124927.65389434872,300956.52110132825
404,200372.25366712196,315936.48674920347,110517.75113657968
405,321213.6889121469,304148.0600508015,265061.30795578094
406,208505.66131469264,257603.777653742,115022.07454229487
407,149379.28867020342,182686.4699231749,267071.97634808585
408,276559.20454491326,62241.68334754885,355505.58239311125
409,143506.34893358313,212767.95341168495,223880.03469302217
410,438473.9817865518,238874.7675848353,404867.62651675276
411,122917.48246441392,178777.47178090422,139414.30050467234
412,384904.36297569884,253956.48026268918,283483.04478288034
413,130672.37798784106,197821.66888676846,157382.44712654472
414,257257.65625272045,237110.10866801685,275892.18926285877
415,218853.25426795817,268803.60154688807,212605.10612788887
416,116854.94964090842,72976.7704614155,195651.96601639502
417,113185.9739020917,104454.39364978165,253322.0722064028
418,297989.3944953721,300087.4873030372,313109.16511512175
419,305974.40517936926,170622.84658643993,190771.83589828145
420,320276.8722570245,271900.586756297,302087.29100462527
421,158491.04867500282,203858.16566960397,200833.569800892
422,244981.44174223614,206492.78853566851,207091.56478249378
423,281843.2583639222,299934.76833762904,314405.56449279474
424,295545.2720623764,277207.16281774145,215746.57147307746
425,204081.83011556696,226553.17172054178,342021.30843088427
