time	Core_1,1	Core_1,2
0.233	46.0371	45.0688
0.2335	46.0372	45.0688
0.234	46.0372	45.0688
0.2345	46.0372	45.0688
0.235	46.0372	45.0689
0.2355	46.0372	45.0689
0.236	46.0373	45.0689
0.2365	46.0373	45.0689
0.237	46.0373	45.0689
0.2375	46.0373	45.069
0.238	46.0374	45.069
0.2385	46.0374	45.069
0.239	46.0374	45.069
0.2395	46.0374	45.069
0.24	46.0375	45.0691
0.2405	46.0375	45.0691
0.241	46.0375	45.0691
0.2415	46.0375	45.0691
0.242	46.0376	45.0691
0.2425	46.0376	45.0692
0.243	46.0376	45.0692
0.2435	46.0376	45.0692
0.244	46.0377	45.0692
0.2445	46.0377	45.0692
0.245	46.0377	45.0693
0.2455	46.0377	45.0693
0.246	46.0378	45.0693
0.2465	46.0378	45.0693
0.247	46.0378	45.0693
0.2475	46.0378	45.0694
0.248	46.0379	45.0694
0.2485	46.0379	45.0694
0.249	46.0379	45.0694
0.2495	46.0379	45.0694
0.25	46.0379	45.0695
0.2505	46.038	45.0695
0.251	46.038	45.0695
0.2515	46.038	45.0695
0.252	46.038	45.0695
0.2525	46.0381	45.0696
0.253	46.0381	45.0696
0.2535	46.0381	45.0696
0.254	46.0381	45.0696
0.2545	46.0382	45.0696
0.255	46.0382	45.0697
0.2555	46.0382	45.0697
0.256	46.0382	45.0697
0.2565	46.0383	45.0697
0.257	46.0383	45.0697
0.2575	46.0383	45.0698
0.258	46.0383	45.0698
0.2585	46.0384	45.0698
0.259	46.0384	45.0698
0.2595	46.0384	45.0698
0.26	46.0384	45.0699
0.2605	46.0384	45.0699
0.261	46.0385	45.0699
0.2615	46.0385	45.0699
0.262	46.0385	45.0699
0.2625	46.0385	45.07
0.263	46.0386	45.07
0.2635	46.0386	45.07
0.264	46.0386	45.07
0.2645	46.0386	45.07
0.265	46.0387	45.0701
0.2655	46.0387	45.0701
0.266	46.0387	45.0701
0.2665	46.0387	45.0701
0.267	46.0387	45.0701
0.2675	46.0388	45.0702
0.268	46.0388	45.0702
0.2685	46.0388	45.0702
0.269	46.0388	45.0702
0.2695	46.0389	45.0702
0.27	46.0389	45.0703
0.2705	46.0389	45.0703
0.271	46.0389	45.0703
0.2715	46.039	45.0703
0.272	46.039	45.0703
0.2725	46.039	45.0704
0.273	46.039	45.0704
0.2735	46.039	45.0704
0.274	46.0391	45.0704
0.2745	46.0391	45.0704
0.275	46.0391	45.0705
0.2755	46.0391	45.0705
0.276	46.0392	45.0705
0.2765	46.0392	45.0705
0.277	46.0392	45.0705
0.2775	46.0392	45.0706
0.278	46.0393	45.0706
0.2785	46.0393	45.0706
0.279	46.0393	45.0706
0.2795	46.0393	45.0706
0.28	46.0393	45.0706
0.2805	46.0394	45.0707
0.281	46.0394	45.0707
0.2815	46.0394	45.0707
0.282	46.0394	45.0707
0.2825	46.0395	45.0707
0.283	46.0395	45.0708
0.2835	46.0395	45.0708
0.284	46.0395	45.0708
0.2845	46.0396	45.0708
0.285	46.0396	45.0708
0.2855	46.0396	45.0709
0.286	46.0396	45.0709
0.2865	46.0396	45.0709
0.287	46.0397	45.0709
0.2875	46.0397	45.0709
0.288	46.0397	45.071
0.2885	46.0397	45.071
0.289	46.0398	45.071
0.2895	46.0398	45.071
