,TTF0,TTF1,TTF2,TTF3,TTF4
298,243825.40267183547,118849.73231096166,443760.13985336,348056.7427685983,261878.86860292483
299,266321.39385296137,189793.02071516268,206056.25370531518,205121.5654954776,301589.9939268882
300,140059.10999455466,263525.6610003773,318635.2634610113,300477.17130379,253837.09102403623
301,182317.69444013495,126425.03905644354,284419.8192096738,311378.4947273894,333879.8596593119
302,226243.4667721925,314292.0090372346,427155.12278531265,286073.4838649497,358718.56047757843
303,114439.05845307866,260998.6332667998,182848.8399899575,316592.95517292584,322032.25178813154
304,162072.96393047017,147563.44844739762,295396.6403168575,269788.65619309235,290202.7830189805
305,255854.0698724466,264076.232691856,232301.3602846646,249496.4523723816,239336.5200780996
306,143208.0404835848,327627.18707164406,376618.0754560878,269144.02365910413,429964.20545899717
307,433131.41929132567,267304.99692853005,245930.11015738774,215448.23579311662,392585.05065718753
308,97166.25251308885,484340.1013091074,353708.2098742192,402800.54205895413,348423.33441545744
309,343891.77743647725,200082.55247139817,314882.92793455045,387172.806971829,368752.20544681535
310,159589.30342332233,189747.37297605508,208039.64291144465,292885.7548060424,210555.8631641572
311,522001.4443739225,225213.72017814347,166068.13073146652,261661.1283852488,304198.8544667999
312,259543.37934884737,363895.3161035232,251013.41991553447,226644.32239752944,293840.6593947994
313,218652.49735061033,275111.73373891425,352160.7208607743,276916.9682505926,250061.0382051847
314,182378.5744539403,243377.98823937654,316093.9171467288,207347.55015523688,208072.47565048133
315,122854.87941442977,251394.8268679962,233992.29425039075,388396.71019946085,289222.9789307909
316,234654.895654534,390676.19786538585,441979.0714704887,181211.5510207988,380850.83894399705
317,123546.50437124132,245657.52673484676,246106.62659108776,314160.90794908133,296690.0719925327
318,234411.8729739924,147854.18156495423,237094.25599177417,200978.77665219136,336678.0509404945
319,202427.20271579598,159371.34139455188,212714.50283243676,320667.3566155083,379342.4849918933
320,169361.11122540943,126290.23745004341,167925.9814369734,186147.30586599596,204986.7497069848
321,157495.1151733406,134824.02899801775,265266.8413032094,280761.67336337763,227162.87921732257
322,174518.50647575586,147571.00537587385,277985.5678872247,285250.6383286454,174222.25468407446
323,229685.12582602235,179576.83405796534,256798.1265439272,388011.3397663783,351760.50942954037
324,56295.28633906611,306601.35278642795,173772.99238164542,314472.5865265007,341888.1462246307
325,189700.5989666786,442468.56657769455,149642.02218418743,287150.1281175503,201725.89914998153
326,249056.94632710307,66987.2725241191,225716.8583201912,296203.7125278809,297998.7471176138
327,246146.06432726036,97991.18219470028,142158.24722331756,293867.07467536477,309429.5015725401
328,240789.94735515892,189274.36015981197,253753.5632005423,258346.2432861964,333665.86556449503
329,229876.67202057675,219809.06054190866,316813.40153221064,465527.2209849082,220156.3201085611
330,122139.74549422461,238187.88833994113,250535.42894804987,306409.3246447507,219594.83760720407
331,179976.62940860796,201431.89377141924,261556.88116326413,306375.78423661017,279100.58998197084
