,FFT0,FFT1,FFT2
488,161988.31766819346,222894.50317869365,141573.11102046628
489,168642.40725588892,57884.2711269487,224424.4125662294
490,179186.85221909866,54561.40331764797,6482.723899789966
491,134566.3133392648,43771.146045774985,94131.08095021115
492,143832.55620607774,325328.4075905295,101692.40329494943
493,99496.10555275124,120939.32779745819,107209.63191916143
494,9746.127428652046,46193.03165430804,111209.61083175421
495,115049.66695909819,160115.18607171348,219368.3834930009
496,118670.02882688216,201797.6872227305,168789.3957664645
497,94606.1416459323,124680.39041333829,140762.64280397462
498,150103.92048952932,133085.43205945988,38734.63068849861
499,155317.10843330884,206852.42651974034,74790.10794472812
